Symbol,Total Return (%),CAGR (%),Buy & Hold Return (%),Final Equity (INR),Peak Equity (INR),Max Drawdown (%),Avg Drawdown (%),Volatility (Ann. %),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Win Rate (%),Best Trade (%),Worst Trade (%),Avg Trade (%),Profit Factor,Expectancy (%),SQN,Kelly Criterion,Exposure Time (%),Avg Trade Duration,Max Trade Duration,Max Drawdown Duration,Avg Drawdown Duration
RELIANCE,2.57,0.37,184.15,1025653.1,1034983.92,-3.45,-0.63,1.47,0.252,0.3609,0.1074,21,76.19,8.75,-16.17,1.13,1.85,1.28,1.0523,0.6335,16.39,19 days 00:00:00,54 days 00:00:00,737 days 00:00:00,87 days 00:00:00
TCS,0.45,0.07,195.88,1004474.12,1015682.83,-2.35,-0.44,1.06,0.0613,0.0815,0.0277,17,64.71,5.22,-8.03,0.21,1.2,0.27,0.3059,0.3539,17.43,25 days 00:00:00,49 days 00:00:00,1762 days 00:00:00,273 days 00:00:00
HDFCBANK,0.57,0.08,87.46,1005660.47,1007281.51,-3.5,-0.81,1.05,0.0784,0.1042,0.0236,14,71.43,8.03,-21.45,0.16,1.19,0.42,0.2122,0.4743,11.7,21 days 00:00:00,56 days 00:00:00,1121 days 00:00:00,293 days 00:00:00
ICICIBANK,0.08,0.01,270.22,1000809.88,1019836.29,-4.48,-1.48,1.42,0.0083,0.0109,0.0026,17,82.35,8.34,-33.64,-0.42,1.04,0.09,0.0208,0.653,14.3,21 days 00:00:00,49 days 00:00:00,1769 days 00:00:00,444 days 00:00:00
BHARTIARTL,1.09,0.16,315.94,1010909.42,1013333.54,-2.2,-0.5,1.38,0.1148,0.1679,0.0719,17,70.59,10.44,-11.33,0.51,1.34,0.66,0.4695,0.4862,13.14,19 days 00:00:00,38 days 00:00:00,2228 days 00:00:00,290 days 00:00:00
INFY,2.93,0.42,284.21,1029327.29,1049677.9,-3.38,-0.65,1.24,0.3396,0.4924,0.1249,19,68.42,12.08,-13.57,1.33,1.74,1.55,0.9779,0.5031,15.98,20 days 00:00:00,58 days 00:00:00,1763 days 00:00:00,257 days 00:00:00
SBIN,-2.68,-0.4,170.61,973238.25,1000904.26,-5.66,-5.66,1.56,-0.2536,-0.3264,-0.0698,20,55.0,8.0,-32.76,-1.78,0.65,-1.28,-0.6339,-0.1405,18.41,23 days 00:00:00,49 days 00:00:00,2511 days 00:00:00,2511 days 00:00:00
LICI,0.62,0.24,35.67,1006166.55,1015873.35,-1.74,-0.43,1.33,0.18,0.2734,0.1374,9,55.56,9.74,-9.65,0.51,1.34,0.69,0.3248,0.2232,26.35,27 days 00:00:00,85 days 00:00:00,589 days 00:00:00,83 days 00:00:00
HINDUNILVR,-1.39,-0.2,85.63,986078.39,1012090.08,-2.84,-0.64,1.1,-0.1857,-0.2663,-0.0719,20,55.0,4.37,-12.86,-0.75,0.62,-0.66,-0.6964,-0.1706,23.28,29 days 00:00:00,92 days 00:00:00,1425 days 00:00:00,253 days 00:00:00
ITC,0.02,0.0,128.48,1000216.99,1013659.06,-3.32,-1.25,1.16,0.0027,0.0038,0.001,15,66.67,8.15,-17.29,-0.2,1.01,0.04,0.0081,0.338,14.48,24 days 00:00:00,63 days 00:00:00,1791 days 00:00:00,462 days 00:00:00
LT,-0.45,-0.07,181.36,995453.76,1005032.56,-5.55,-3.07,1.24,-0.0534,-0.0697,-0.012,18,61.11,9.46,-27.54,-0.57,0.92,-0.22,-0.1376,0.1869,17.02,23 days 00:00:00,47 days 00:00:00,2288 days 00:00:00,1194 days 00:00:00
KOTAKBANK,4.22,0.61,60.82,1042217.79,1042217.79,-3.11,-0.51,1.32,0.4588,0.6475,0.1947,20,75.0,11.16,-20.82,1.87,2.41,2.1,1.4074,0.6462,14.01,17 days 00:00:00,56 days 00:00:00,685 days 00:00:00,83 days 00:00:00
BAJFINANCE,-2.87,-0.42,305.91,971251.75,1002951.24,-5.79,-2.84,1.8,-0.236,-0.3026,-0.0734,21,61.9,9.46,-47.22,-2.24,0.67,-1.32,-0.5325,0.0471,21.6,25 days 00:00:00,58 days 00:00:00,1764 days 00:00:00,768 days 00:00:00
HCLTECH,-0.44,-0.06,357.48,995599.69,1010617.06,-3.25,-0.99,1.22,-0.0529,-0.0712,-0.0198,17,64.71,4.83,-19.19,-0.45,0.89,-0.24,-0.167,0.2513,17.2,25 days 00:00:00,66 days 00:00:00,2009 days 00:00:00,427 days 00:00:00
MARUTI,-2.86,-0.42,20.12,971356.16,1001299.77,-5.38,-2.77,1.42,-0.2974,-0.397,-0.0786,17,41.18,8.91,-18.54,-2.11,0.47,-1.82,-0.9887,-0.8294,21.77,32 days 00:00:00,57 days 00:00:00,2514 days 00:00:00,1261 days 00:00:00
SUNPHARMA,6.38,0.91,240.99,1063830.2,1064927.86,-1.72,-0.33,1.38,0.6585,1.0509,0.5263,20,80.0,11.3,-9.04,3.03,5.49,3.12,3.2803,0.7636,14.3,17 days 00:00:00,49 days 00:00:00,916 days 00:00:00,62 days 00:00:00
ADANIENT,2.94,0.42,2107.97,1029406.0,1032867.15,-6.89,-2.24,2.64,0.1606,0.2205,0.0615,21,76.19,19.6,-45.73,0.14,1.32,1.47,0.4263,0.5817,17.2,20 days 00:00:00,44 days 00:00:00,1758 days 00:00:00,404 days 00:00:00
ADANIPORTS,4.02,0.58,193.86,1040151.06,1040151.06,-4.62,-0.95,1.96,0.2933,0.4076,0.1248,23,78.26,15.61,-28.74,1.18,1.63,1.77,0.7924,0.6495,22.0,23 days 00:00:00,76 days 00:00:00,758 days 00:00:00,123 days 00:00:00
NTPC,1.67,0.24,213.51,1016658.03,1024508.77,-3.11,-0.71,1.23,0.1957,0.2726,0.0775,20,70.0,8.99,-17.48,0.87,1.55,1.07,0.7507,0.5066,19.92,24 days 00:00:00,69 days 00:00:00,645 days 00:00:00,123 days 00:00:00
TITAN,5.4,0.77,272.25,1053982.45,1059958.46,-3.7,-0.51,1.4,0.5501,0.829,0.2082,22,68.18,9.87,-15.75,2.27,3.01,2.43,2.0602,0.5761,17.78,20 days 00:00:00,45 days 00:00:00,977 days 00:00:00,67 days 00:00:00
ONGC,-0.77,-0.11,73.47,992307.0,1007333.07,-6.96,-2.83,1.64,-0.0688,-0.096,-0.0162,18,66.67,15.76,-36.97,-1.07,0.92,-0.3,-0.1356,0.3063,19.11,26 days 00:00:00,69 days 00:00:00,2268 days 00:00:00,803 days 00:00:00
WIPRO,0.02,0.0,165.74,1000222.55,1022838.78,-3.55,-0.82,1.18,0.0028,0.0038,0.0009,23,69.57,6.46,-16.61,-0.19,1.01,0.03,0.0069,0.395,18.88,21 days 00:00:00,49 days 00:00:00,1125 days 00:00:00,211 days 00:00:00
ASIANPAINT,-0.66,-0.1,108.97,993427.52,1026004.54,-3.23,-0.78,1.24,-0.0773,-0.1023,-0.0297,17,64.71,8.34,-7.64,1.15,1.96,1.24,1.1502,0.467,15.4,22 days 00:00:00,46 days 00:00:00,593 days 00:00:00,154 days 00:00:00
AXISBANK,-0.53,-0.08,76.63,994672.42,1003005.65,-5.68,-2.07,1.5,-0.0518,-0.0658,-0.0137,18,72.22,10.2,-39.75,-0.92,0.94,-0.21,-0.102,0.4257,15.23,21 days 00:00:00,43 days 00:00:00,2288 days 00:00:00,795 days 00:00:00
ULTRACEMCO,-2.79,-0.41,168.02,972108.11,1002021.29,-4.21,-1.03,1.29,-0.3188,-0.4076,-0.0978,14,50.0,7.0,-22.11,-2.4,0.49,-2.06,-0.9595,-0.5109,15.0,26 days 00:00:00,53 days 00:00:00,2280 days 00:00:00,505 days 00:00:00
BAJAJFINSV,-3.18,-0.47,220.15,968204.22,1004206.32,-6.37,-6.37,1.69,-0.2784,-0.3591,-0.0738,20,65.0,16.25,-47.71,-2.74,0.71,-1.53,-0.5178,0.1589,19.4,24 days 00:00:00,63 days 00:00:00,2314 days 00:00:00,2314 days 00:00:00
TATASTEEL,0.32,0.05,125.04,1003153.22,1023026.52,-5.14,-1.13,1.88,0.0244,0.034,0.0089,22,59.09,13.99,-25.38,-0.24,1.08,0.28,0.1067,0.2116,21.13,24 days 00:00:00,58 days 00:00:00,1995 days 00:00:00,346 days 00:00:00
POWERGRID,2.16,0.31,315.84,1021588.83,1024975.0,-1.64,-0.3,0.99,0.3138,0.4597,0.1906,12,66.67,9.45,-9.84,1.86,2.84,1.98,1.3534,0.5492,11.0,22 days 00:00:00,52 days 00:00:00,1149 days 00:00:00,183 days 00:00:00
NESTLEIND,2.03,0.29,214.8,1020273.87,1025179.91,-1.67,-0.52,0.92,0.3174,0.4715,0.1751,18,66.67,5.13,-5.12,1.06,2.26,1.11,1.4824,0.5194,13.32,18 days 00:00:00,55 days 00:00:00,823 days 00:00:00,106 days 00:00:00
JSWSTEEL,-0.58,-0.09,235.65,994179.65,1004601.42,-5.81,-1.8,1.66,-0.0512,-0.067,-0.0147,18,72.22,13.22,-29.44,-0.75,0.95,-0.18,-0.0954,0.4304,17.14,23 days 00:00:00,75 days 00:00:00,2272 days 00:00:00,595 days 00:00:00
COALINDIA,0.93,0.13,137.96,1009257.94,1022676.81,-3.15,-0.49,1.36,0.0987,0.1419,0.0427,22,68.18,9.11,-16.16,0.47,1.32,0.65,0.4917,0.4409,21.54,24 days 00:00:00,59 days 00:00:00,1362 days 00:00:00,100 days 00:00:00
M&M,0.94,0.14,319.97,1009390.8,1009390.8,-5.05,-1.54,1.44,0.0946,0.1323,0.027,18,66.67,9.09,-16.55,0.29,1.22,0.55,0.3106,0.3933,14.71,21 days 00:00:00,45 days 00:00:00,2333 days 00:00:00,590 days 00:00:00
TECHM,-2.34,-0.34,262.28,976629.46,1012754.12,-6.11,-1.16,1.35,-0.2548,-0.3321,-0.0564,12,66.67,7.05,-28.01,-2.54,0.6,-1.91,-0.6207,0.1121,13.26,28 days 00:00:00,61 days 00:00:00,1763 days 00:00:00,269 days 00:00:00
INDUSINDBK,-6.98,-1.05,-42.19,930197.61,1003415.89,-9.36,-4.7,2.02,-0.5203,-0.6829,-0.1122,18,66.67,18.34,-68.6,-6.84,0.51,-3.84,-0.8639,0.0094,21.13,29 days 00:00:00,91 days 00:00:00,2318 days 00:00:00,1161 days 00:00:00
HINDALCO,-1.37,-0.2,143.78,986341.37,1023176.65,-5.58,-0.86,1.83,-0.1094,-0.1498,-0.0359,22,59.09,10.23,-45.75,-1.24,0.9,-0.36,-0.1695,0.1345,21.89,25 days 00:00:00,73 days 00:00:00,1979 days 00:00:00,204 days 00:00:00
GRASIM,-2.89,-0.43,116.09,971105.26,1007347.28,-6.26,-1.43,1.6,-0.2672,-0.3578,-0.0682,19,63.16,9.27,-28.37,-1.92,0.64,-1.41,-0.6472,0.0592,17.72,23 days 00:00:00,54 days 00:00:00,2279 days 00:00:00,395 days 00:00:00
BPCL,4.89,0.7,99.0,1048926.32,1054627.22,-3.64,-0.44,1.65,0.4231,0.598,0.1923,22,72.73,10.42,-13.14,2.07,3.42,2.19,2.0595,0.6476,19.57,22 days 00:00:00,42 days 00:00:00,1718 days 00:00:00,86 days 00:00:00
CIPLA,1.78,0.26,160.82,1017830.92,1029305.66,-2.3,-0.65,1.33,0.1942,0.302,0.1123,21,71.43,5.13,-15.11,0.73,1.56,0.85,0.7828,0.5308,18.47,21 days 00:00:00,75 days 00:00:00,740 days 00:00:00,151 days 00:00:00
SBILIFE,0.27,0.04,107.02,1002724.96,1017455.44,-4.5,-1.12,1.36,0.0292,0.0392,0.0088,17,76.47,7.77,-19.43,0.26,1.2,0.53,0.2849,0.5689,13.49,19 days 00:00:00,64 days 00:00:00,1786 days 00:00:00,373 days 00:00:00
DIVISLAB,4.75,0.68,483.57,1047535.59,1054238.07,-2.15,-0.61,1.29,0.5252,0.8058,0.3161,20,70.0,9.28,-15.18,2.2,3.11,2.35,1.9254,0.6036,14.82,18 days 00:00:00,45 days 00:00:00,958 days 00:00:00,112 days 00:00:00
APOLLOHOSP,1.35,0.2,554.33,1013461.14,1020953.92,-2.79,-0.63,1.41,0.1384,0.1961,0.07,17,64.71,6.24,-15.13,0.67,1.5,0.82,0.5986,0.4114,14.48,21 days 00:00:00,38 days 00:00:00,1754 days 00:00:00,192 days 00:00:00
DRREDDY,4.04,0.58,208.96,1040414.38,1045486.7,-2.28,-0.51,1.21,0.4806,0.7792,0.2542,21,76.19,8.34,-10.1,1.81,2.79,1.9,1.9364,0.6767,18.53,22 days 00:00:00,55 days 00:00:00,939 days 00:00:00,91 days 00:00:00
TRENT,2.52,0.36,2122.52,1025186.65,1025186.65,-3.27,-1.16,1.46,0.2484,0.3514,0.1112,14,71.43,10.87,-18.17,1.5,1.72,1.84,0.8068,0.5484,12.1,21 days 00:00:00,62 days 00:00:00,707 days 00:00:00,252 days 00:00:00
EICHERMOT,5.24,0.75,85.4,1052403.28,1052403.28,-3.43,-0.61,1.56,0.4809,0.7022,0.2182,28,75.0,11.65,-21.88,1.65,2.27,1.87,1.5316,0.6399,21.13,18 days 00:00:00,67 days 00:00:00,559 days 00:00:00,92 days 00:00:00
BAJAJ-AUTO,-1.4,-0.21,218.04,986034.62,1021950.66,-3.73,-0.6,1.25,-0.1646,-0.2206,-0.0549,20,60.0,8.27,-20.07,-0.26,0.99,-0.04,-0.0366,0.1941,18.18,22 days 00:00:00,44 days 00:00:00,1995 days 00:00:00,222 days 00:00:00
BRITANNIA,-1.45,-0.21,126.47,985500.13,1005462.16,-3.07,-2.58,1.27,-0.1676,-0.2328,-0.0694,16,62.5,6.42,-6.48,0.09,1.11,0.17,0.1599,0.2867,16.97,26 days 00:00:00,50 days 00:00:00,1526 days 00:00:00,1150 days 00:00:00
HEROMOTOCO,0.56,0.08,43.52,1005632.87,1022237.02,-3.27,-0.61,1.37,0.0599,0.0824,0.0251,22,63.64,7.97,-17.43,0.37,1.27,0.53,0.4239,0.3511,21.13,23 days 00:00:00,54 days 00:00:00,1873 days 00:00:00,227 days 00:00:00
