Symbol,Total Return (%),CAGR (%),Buy & Hold Return (%),Final Equity (INR),Peak Equity (INR),Max Drawdown (%),Avg Drawdown (%),Volatility (Ann. %),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Win Rate (%),Best Trade (%),Worst Trade (%),Avg Trade (%),Profit Factor,Expectancy (%),SQN,Kelly Criterion,Exposure Time (%),Avg Trade Duration,Max Trade Duration,Max Drawdown Duration,Avg Drawdown Duration
SHRIRAMFIN,0.26,0.04,129.57,1002591.9,1004737.45,-6.11,-3.48,2.09,0.0181,0.024,0.0062,20,65.0,16.82,-38.84,-0.56,1.05,0.19,0.0509,0.3168,17.43,21 days 00:00:00,49 days 00:00:00,2379 days 00:00:00,1246 days 00:00:00
BEL,4.27,0.61,479.83,1042666.33,1043399.51,-5.1,-0.71,1.97,0.3104,0.44,0.12,23,73.91,12.03,-22.22,1.49,1.77,1.82,1.0971,0.5919,20.44,21 days 00:00:00,58 days 00:00:00,1627 days 00:00:00,130 days 00:00:00
ABB,2.1,0.3,382.04,1020958.9,1022422.03,-3.84,-0.85,1.26,0.2409,0.3971,0.0788,16,68.75,10.26,-24.84,0.94,1.53,1.36,0.5942,0.4832,14.19,22 days 00:00:00,66 days 00:00:00,811 days 00:00:00,210 days 00:00:00
ADANIGREEN,-12.41,-2.05,3209.06,875889.91,1000000.0,-13.97,-13.97,2.35,-0.8729,-1.0861,-0.1466,14,28.57,10.39,-58.33,-11.57,0.21,-9.33,-1.9245,-3.0695,18.29,30 days 00:00:00,60 days 00:00:00,2293 days 00:00:00,2293 days 00:00:00
ADANIPOWER,-10.18,-1.56,1330.95,898162.04,1000000.0,-12.65,-12.65,2.36,-0.6591,-0.9,-0.123,14,57.14,14.94,-47.63,-9.86,0.26,-7.46,-1.4604,-1.102,17.37,31 days 00:00:00,76 days 00:00:00,2492 days 00:00:00,2492 days 00:00:00
AMBUJACEM,5.62,0.8,130.1,1056172.86,1070476.43,-4.26,-0.55,1.73,0.4627,0.6218,0.188,26,69.23,17.02,-29.44,1.74,1.99,2.14,1.2258,0.5374,19.51,18 days 00:00:00,37 days 00:00:00,1037 days 00:00:00,90 days 00:00:00
AUROPHARMA,-0.41,-0.06,119.01,995923.22,1020680.23,-5.31,-0.79,1.9,-0.0313,-0.0408,-0.0112,23,65.22,10.32,-16.62,-0.51,0.95,-0.15,-0.1006,0.2875,22.58,24 days 00:00:00,87 days 00:00:00,2056 days 00:00:00,234 days 00:00:00
BANKBARODA,-1.09,-0.16,61.57,989133.6,1020860.6,-8.81,-8.81,1.94,-0.0823,-0.1083,-0.0181,23,65.22,12.5,-50.58,-1.59,0.92,-0.38,-0.1677,0.2723,22.7,25 days 00:00:00,119 days 00:00:00,2385 days 00:00:00,2385 days 00:00:00
BERGEPAINT,-2.35,-0.35,123.07,976521.0,1018122.99,-4.21,-1.05,1.31,-0.2635,-0.361,-0.0821,19,68.42,7.02,-14.8,-0.24,0.98,-0.05,-0.0481,0.3614,18.76,24 days 00:00:00,55 days 00:00:00,971 days 00:00:00,189 days 00:00:00
BOSCHLTD,1.71,0.25,85.7,1017093.78,1017093.78,-3.74,-0.65,1.36,0.1823,0.2482,0.0662,25,68.0,8.84,-22.5,0.62,1.42,0.86,0.5389,0.4549,21.13,20 days 00:00:00,65 days 00:00:00,1616 days 00:00:00,165 days 00:00:00
CANBK,3.38,0.49,59.97,1033796.67,1033796.67,-6.12,-0.87,1.96,0.2479,0.3547,0.0794,27,77.78,10.15,-50.79,0.31,1.37,1.31,0.5296,0.6156,22.64,21 days 00:00:00,77 days 00:00:00,1780 days 00:00:00,193 days 00:00:00
CHOLAFIN,-0.05,-0.01,364.89,999520.81,1020269.55,-6.06,-1.08,1.82,-0.0038,-0.0052,-0.0012,20,70.0,8.4,-44.36,-0.78,1.01,0.04,-0.0093,0.4037,17.14,21 days 00:00:00,51 days 00:00:00,1770 days 00:00:00,234 days 00:00:00
COLPAL,-1.26,-0.18,173.5,987449.42,1006870.12,-2.69,-0.68,0.86,-0.2139,-0.3,-0.0684,14,64.29,5.28,-11.7,-1.01,0.54,-0.9,-0.7166,-0.0237,15.11,27 days 00:00:00,56 days 00:00:00,1169 days 00:00:00,290 days 00:00:00
DABUR,5.75,0.82,51.26,1057544.71,1067096.7,-1.3,-0.38,1.1,0.744,1.1288,0.6307,26,73.08,8.22,-8.99,2.08,3.31,2.17,2.6422,0.6494,20.56,20 days 00:00:00,54 days 00:00:00,286 days 00:00:00,59 days 00:00:00
DLF,6.44,0.91,244.48,1064381.05,1064531.4,-3.37,-0.7,1.83,0.5002,0.7348,0.271,20,75.0,16.41,-18.23,2.87,2.88,3.16,1.8157,0.6633,16.79,21 days 00:00:00,41 days 00:00:00,690 days 00:00:00,115 days 00:00:00
DMART,2.16,0.31,201.37,1021568.74,1040730.29,-2.71,-1.15,1.51,0.2062,0.3122,0.1153,22,59.09,13.02,-22.7,0.51,1.34,0.83,0.4589,0.2858,18.82,21 days 00:00:00,63 days 00:00:00,622 days 00:00:00,195 days 00:00:00
GAIL,2.75,0.4,108.93,1027488.18,1033787.89,-3.96,-0.49,1.56,0.2536,0.3703,0.1001,21,76.19,11.64,-19.06,1.02,1.52,1.32,0.7716,0.6057,18.59,22 days 00:00:00,67 days 00:00:00,1142 days 00:00:00,82 days 00:00:00
GODREJCP,2.09,0.3,60.91,1020920.55,1031930.72,-3.23,-0.84,1.39,0.2177,0.308,0.0937,20,60.0,9.9,-10.35,0.9,1.6,1.06,0.8214,0.3508,18.76,23 days 00:00:00,60 days 00:00:00,686 days 00:00:00,159 days 00:00:00
HAVELLS,-1.06,-0.15,204.27,989441.7,1007842.39,-2.77,-1.1,1.34,-0.1159,-0.1618,-0.056,18,55.56,4.97,-8.73,-0.76,0.73,-0.64,-0.5534,-0.0555,20.09,28 days 00:00:00,53 days 00:00:00,2297 days 00:00:00,839 days 00:00:00
HDFCAMC,-3.73,-0.61,167.2,962686.14,1002130.4,-4.91,-2.71,1.35,-0.4493,-0.5592,-0.1234,12,41.67,7.95,-19.8,-3.51,0.36,-3.15,-1.2862,-1.1966,16.35,31 days 00:00:00,71 days 00:00:00,2288 days 00:00:00,1148 days 00:00:00
HINDPETRO,4.64,0.66,129.3,1046413.95,1067723.64,-3.79,-0.67,1.71,0.3877,0.6264,0.1751,20,65.0,31.98,-12.75,1.95,2.22,2.31,1.1169,0.4925,20.56,25 days 00:00:00,71 days 00:00:00,1985 days 00:00:00,199 days 00:00:00
ICICIGI,3.68,0.53,126.58,1036788.52,1039539.98,-3.54,-0.64,1.45,0.3641,0.5277,0.1494,21,76.19,8.15,-10.5,1.64,2.59,1.75,1.7235,0.67,19.05,22 days 00:00:00,63 days 00:00:00,1062 days 00:00:00,136 days 00:00:00
ICICIPRULI,6.19,0.88,60.97,1061866.14,1063983.34,-4.64,-0.64,1.67,0.5282,0.7913,0.1895,28,78.57,10.9,-20.11,2.03,2.61,2.21,2.0049,0.7037,23.51,20 days 00:00:00,46 days 00:00:00,683 days 00:00:00,98 days 00:00:00
INDUSTOWER,7.23,1.02,29.95,1072278.26,1076455.16,-2.71,-0.81,2.12,0.4839,0.7252,0.3773,26,65.38,16.01,-9.36,2.51,2.84,2.71,2.0891,0.5318,22.87,22 days 00:00:00,48 days 00:00:00,725 days 00:00:00,101 days 00:00:00
IOC,5.04,0.72,71.9,1050414.74,1075604.22,-6.2,-0.59,1.44,0.4996,0.7687,0.1162,27,66.67,18.68,-25.53,1.49,1.79,1.86,1.0928,0.48,25.36,23 days 00:00:00,80 days 00:00:00,2002 days 00:00:00,151 days 00:00:00
IRCTC,3.95,0.76,336.6,1039524.1,1044218.75,-1.67,-0.38,1.2,0.6311,0.9857,0.4537,15,66.67,9.11,-7.02,2.52,4.13,2.62,2.2752,0.5859,16.56,20 days 00:00:00,45 days 00:00:00,716 days 00:00:00,92 days 00:00:00
JIOFIN,0.32,0.24,24.77,1003159.48,1010844.29,-1.18,-0.45,1.29,0.1863,0.296,0.2037,4,50.0,6.47,-2.98,1.19,2.09,1.26,0.5715,0.2608,18.13,22 days 00:00:00,33 days 00:00:00,162 days 00:00:00,45 days 00:00:00
JSWENERGY,8.92,1.25,695.55,1089197.62,1093894.65,-3.13,-0.57,1.98,0.6327,1.0975,0.4006,21,85.71,15.42,-22.16,3.64,3.31,3.99,2.1873,0.814,18.01,21 days 00:00:00,62 days 00:00:00,840 days 00:00:00,63 days 00:00:00
LODHA,3.94,1.07,340.46,1039423.83,1044091.86,-2.16,-0.89,2.12,0.5053,0.8559,0.4954,9,77.78,11.64,-6.48,4.13,4.22,4.35,1.8515,0.7251,11.79,16 days 00:00:00,27 days 00:00:00,329 days 00:00:00,72 days 00:00:00
LUPIN,-2.45,-0.36,168.66,975456.96,1000000.0,-3.48,-3.48,1.37,-0.2635,-0.3545,-0.1041,20,50.0,8.24,-14.25,-1.45,0.65,-1.22,-0.8174,-0.2734,20.85,26 days 00:00:00,74 days 00:00:00,2525 days 00:00:00,2525 days 00:00:00
MAXHEALTH,3.19,0.74,861.75,1031910.41,1032110.7,-1.07,-0.48,0.9,0.8173,1.7053,0.685,5,80.0,14.28,-0.53,6.23,60.55,6.35,2.5122,0.7967,5.38,17 days 00:00:00,26 days 00:00:00,212 days 00:00:00,64 days 00:00:00
MOTHERSON,-6.85,-1.03,69.47,931450.25,1000965.98,-8.32,-8.32,1.98,-0.5218,-0.6715,-0.1239,21,52.38,9.63,-49.22,-4.45,0.47,-3.29,-1.1385,-0.4999,23.91,28 days 00:00:00,69 days 00:00:00,2526 days 00:00:00,2526 days 00:00:00
MUTHOOTFIN,4.58,0.66,483.52,1045840.79,1045840.79,-2.71,-0.65,1.62,0.4048,0.6319,0.2426,20,75.0,12.04,-16.74,2.08,2.53,2.27,1.6085,0.651,17.14,21 days 00:00:00,65 days 00:00:00,676 days 00:00:00,97 days 00:00:00
NAUKRI,5.62,0.8,538.49,1056174.08,1065935.21,-4.16,-0.87,1.73,0.4639,0.725,0.1924,18,83.33,15.92,-9.95,2.84,2.93,3.07,1.8444,0.7764,16.44,22 days 00:00:00,49 days 00:00:00,1063 days 00:00:00,114 days 00:00:00
NHPC,6.24,0.89,289.64,1062429.24,1072122.26,-1.54,-0.49,1.24,0.7163,1.4354,0.5767,17,82.35,16.76,-7.22,3.41,4.82,3.59,2.3289,0.7869,11.87,17 days 00:00:00,39 days 00:00:00,360 days 00:00:00,46 days 00:00:00
NMDC,-1.35,-0.2,189.65,986522.21,1003463.79,-6.86,-3.62,1.84,-0.1078,-0.1385,-0.0288,20,65.0,10.31,-25.98,-0.75,0.94,-0.25,-0.138,0.2761,20.38,25 days 00:00:00,59 days 00:00:00,2514 days 00:00:00,1259 days 00:00:00
OBEROIRLTY,5.91,0.84,346.16,1059116.49,1061060.23,-3.99,-0.6,1.58,0.5342,1.0332,0.2107,18,77.78,22.62,-20.56,2.8,2.56,3.25,1.4084,0.6909,12.91,17 days 00:00:00,37 days 00:00:00,428 days 00:00:00,81 days 00:00:00
PAGEIND,3.42,0.49,133.5,1034204.45,1038697.11,-2.83,-0.83,1.23,0.4005,0.6159,0.1737,21,76.19,11.95,-21.46,1.46,1.81,1.77,1.109,0.6302,22.64,27 days 00:00:00,95 days 00:00:00,1089 days 00:00:00,203 days 00:00:00
PERSISTENT,-4.07,-0.61,1694.33,959254.49,1013948.4,-5.7,-3.07,1.38,-0.438,-0.5467,-0.1062,13,46.15,11.12,-26.31,-3.81,0.46,-3.16,-1.0148,-0.7212,13.9,27 days 00:00:00,55 days 00:00:00,2283 days 00:00:00,1153 days 00:00:00
PFC,7.31,1.04,623.44,1073124.22,1076610.66,-2.73,-0.64,1.94,0.5334,0.8359,0.3785,25,72.0,11.68,-17.79,2.66,2.76,2.89,2.1378,0.6185,19.34,19 days 00:00:00,63 days 00:00:00,664 days 00:00:00,78 days 00:00:00
PIIND,3.04,0.44,309.08,1030417.76,1035743.26,-2.51,-0.69,1.33,0.3304,0.5201,0.1745,21,66.67,11.47,-5.58,1.63,3.04,1.7,1.9608,0.557,16.68,19 days 00:00:00,49 days 00:00:00,764 days 00:00:00,134 days 00:00:00
PNB,-0.14,-0.02,-38.11,998599.95,1005772.65,-5.9,-1.58,2.02,-0.0101,-0.0134,-0.0035,25,64.0,15.0,-43.68,-0.98,1.01,0.02,-0.0221,0.282,24.55,25 days 00:00:00,86 days 00:00:00,1812 days 00:00:00,391 days 00:00:00
RECLTD,5.88,0.84,663.47,1058837.76,1058837.76,-3.57,-0.82,1.64,0.5106,0.7658,0.2344,24,75.0,10.08,-28.46,2.05,2.13,2.42,1.4097,0.6325,20.15,20 days 00:00:00,48 days 00:00:00,1464 days 00:00:00,157 days 00:00:00
SAIL,0.22,0.03,45.58,1002155.63,1009525.03,-7.84,-2.38,2.18,0.0144,0.0203,0.004,23,65.22,16.88,-43.35,-0.82,1.03,0.12,0.0152,0.3142,22.47,24 days 00:00:00,65 days 00:00:00,2280 days 00:00:00,610 days 00:00:00
SIEMENS,3.78,0.54,429.39,1037797.45,1048001.17,-2.75,-0.57,1.34,0.4061,0.5595,0.1975,20,75.0,9.46,-11.45,1.97,2.43,2.11,1.7445,0.6471,17.14,21 days 00:00:00,55 days 00:00:00,646 days 00:00:00,92 days 00:00:00
TORNTPHARM,3.49,0.5,433.48,1034899.98,1036539.43,-1.68,-0.51,1.08,0.4664,0.7591,0.2991,16,87.5,9.48,-10.3,2.07,4.26,2.16,1.996,0.8457,13.32,20 days 00:00:00,61 days 00:00:00,482 days 00:00:00,101 days 00:00:00
TVSMOTOR,-0.02,-0.0,241.82,999842.12,1015238.11,-6.04,-1.44,1.51,-0.0015,-0.0022,-0.0004,17,64.71,9.19,-27.47,-0.45,1.0,0.0,-0.0207,0.2945,16.56,24 days 00:00:00,64 days 00:00:00,2160 days 00:00:00,337 days 00:00:00
UBL,0.68,0.1,79.84,1006775.25,1021241.68,-3.21,-0.84,1.22,0.0807,0.1082,0.0307,17,70.59,7.61,-20.51,0.17,1.2,0.41,0.2371,0.4599,17.02,25 days 00:00:00,62 days 00:00:00,1040 days 00:00:00,240 days 00:00:00
UNIONBANK,0.63,0.09,-2.1,1006343.15,1006343.15,-5.49,-2.26,1.97,0.0468,0.0655,0.0168,23,65.22,10.89,-33.06,-0.17,1.1,0.32,0.1428,0.3364,21.48,23 days 00:00:00,57 days 00:00:00,2283 days 00:00:00,774 days 00:00:00
VBL,9.76,1.37,1481.59,1097581.94,1097581.94,-3.33,-0.44,1.55,0.8801,1.5081,0.4102,21,85.71,15.99,-20.77,4.22,4.97,4.47,2.92,0.8284,13.67,16 days 00:00:00,43 days 00:00:00,655 days 00:00:00,47 days 00:00:00
VEDL,-4.03,-0.6,235.99,959667.86,1015405.42,-6.99,-1.52,2.06,-0.2914,-0.3534,-0.0856,19,52.63,9.26,-39.04,-2.87,0.58,-2.1,-0.8082,-0.2913,18.53,24 days 00:00:00,43 days 00:00:00,1966 days 00:00:00,310 days 00:00:00
